code_type,code,description,gross_charge,discounted_cash,min_negotiated,max_negotiated,payer_entries
APC,2042,"Endo, single, pulmonary",,,,,0
APC,5012,Clinic Visits and Related Services,,,,,0
APC,5021,Level 1 Type A ED Visits,,,,,0
APC,5022,Level 2 Type A ED Visits,,,,,0
APC,5023,Level 3 Type A ED Visits,,,,,0
APC,5024,Level 4 Type A ED Visits,,,,,0
APC,5025,Level 5 Type A ED Visits,,,,,0
APC,5051,Level 1 Skin Procedures,,,,,0
APC,5052,Level 2 Skin Procedures,,,,,0
APC,5053,Level 3 Skin Procedures,,,,,0
APC,5054,Level 4 Skin Procedures,,,,,0
APC,5055,Level 5 Skin Procedures,,,,,0
APC,5071,Level 1 Excision/ Biopsy/ Incision and Drainage,,,,,0
APC,5072,Level 2 Excision/ Biopsy/ Incision and Drainage,,,,,0
APC,5073,Level 3 Excision/ Biopsy/ Incision and Drainage,,,,,0
APC,5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,,,,,0
APC,5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,,,,,0
APC,5093,Level 3 Breast/Lymphatic Surgery and Related Procedures,,,,,0
APC,5094,Level 4 Breast/Lymphatic Surgery and Related Procedures,,,,,0
APC,5101,Level 1 Strapping and Cast Application,,,,,0
APC,5102,Level 2 Strapping and Cast Application,,,,,0
APC,5111,Level 1 Musculoskeletal Procedures,,,,,0
APC,5112,Level 2 Musculoskeletal Procedures,,,,,0
APC,5113,Level 3 Musculoskeletal Procedures,,,,,0
APC,5114,Level 4 Musculoskeletal Procedures,,,,,0
APC,5115,Level 5 Musculoskeletal Procedures,,,,,0
APC,5116,Level 6 Musculoskeletal Procedures,,,,,0
APC,5151,Level 1 Airway Endoscopy,,,,,0
APC,5152,Level 2 Airway Endoscopy,,,,,0
APC,5153,Level 3 Airway Endoscopy,,,,,0
APC,5154,Level 4 Airway Endoscopy,,,,,0
APC,5155,Level 5 Airway Endoscopy,,,,,0
APC,5161,Level 1 ENT Procedures,,,,,0
APC,5162,Level 2 ENT Procedures,,,,,0
APC,5163,Level 3 ENT Procedures,,,,,0
APC,5164,Level 4 ENT Procedures,,,,,0
APC,5165,Level 5 ENT Procedures,,,,,0
APC,5181,Level 1 Vascular Procedures,,,,,0
APC,5182,Level 2 Vascular Procedures,,,,,0
APC,5183,Level 3 Vascular Procedures,,,,,0
APC,5184,Level 4 Vascular Procedures,,,,,0
APC,5191,Level 1 Endovascular Procedures,,,,,0
APC,5192,Level 2 Endovascular Procedures,,,,,0
APC,5193,Level 3 Endovascular Procedures,,,,,0
APC,5194,Level 4 Endovascular Procedures,,,,,0
APC,5241,Level 1 Blood Product Exchange and Related Services,,,,,0
APC,5301,Level 1 Upper GI Procedures,,,,,0
APC,5302,Level 2 Upper GI Procedures,,,,,0
APC,5303,Level 3 Upper GI Procedures,,,,,0
APC,5311,Level 1 Lower GI Procedures,,,,,0
APC,5312,Level 2 Lower GI Procedures,,,,,0
APC,5313,Level 3 Lower GI Procedures,,,,,0
APC,5331,Complex GI Procedures,,,,,0
APC,5341,Level 1 Abdominal/Peritoneal/Biliary and Related Procedures,,,,,0
APC,5342,Level 2 Abdominal/Peritoneal/Biliary and Related Procedures,,,,,0
APC,5361,Level 1 Laparoscopy and Related Services,,,,,0
APC,5362,Level 2 Laparoscopy and Related Services,,,,,0
APC,5371,Level 1 Urology and Related Services,,,,,0
APC,5372,Level 2 Urology and Related Services,,,,,0
APC,5373,Level 3 Urology and Related Services,,,,,0
APC,5374,Level 4 Urology and Related Services,,,,,0
APC,5375,Level 5 Urology and Related Services,,,,,0
APC,5376,Level 6 Urology and Related Services,,,,,0
APC,5377,Level 7 Urology and Related Services,,,,,0
APC,5378,Level 8 Urology and Related Services,,,,,0
APC,5401,Dialysis,,,,,0
APC,5411,Level 1 Gynecologic Procedures,,,,,0
APC,5412,Level 2 Gynecologic Procedures,,,,,0
APC,5413,Level 3 Gynecologic Procedures,,,,,0
APC,5414,Level 4 Gynecologic Procedures,,,,,0
APC,5415,Level 5 Gynecologic Procedures,,,,,0
APC,5416,Level 6 Gynecologic Procedures,,,,,0
APC,5431,Level 1 Nerve Procedures,,,,,0
APC,5432,Level 2 Nerve Procedures,,,,,0
APC,5441,Level 1 Nerve Injections,,,,,0
APC,5442,Level 2 Nerve Injections,,,,,0
APC,5443,Level 3 Nerve Injections,,,,,0
APC,5461,Level 1 Neurostimulator and Related Procedures,,,,,0
APC,5462,Level 2 Neurostimulator and Related Procedures,,,,,0
APC,5464,Level 4 Neurostimulator and Related Procedures,,,,,0
APC,5481,Laser Eye Procedures,,,,,0
APC,5501,"Level 1 Extraocular, Repair, and Plastic Eye Procedures",,,,,0
